PLANT: R41CTP - Plant Citeureup Bogor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SO03-IDM210600051,1,Y,24/06/2021,ANDRY CHRISTIANTO,CU00302,PT PULAUINTAN BAJAPERKASA KONSTRUKSI,DPPBA00074,JL RAYA BOGOR NO 3 CIMANDALA SUKARAJA,BOGOR    , ,40PX12A06P3R,1207.00 ,63.0,,,,,,21.0,21.0,21.0,,,,,,,,,,,,,,,,,MANUAL,C3000D,,
SO03-IDM210600052,1,Y,24/06/2021,ANDRY CHRISTIANTO,CU00302,PT PULAUINTAN BAJAPERKASA KONSTRUKSI,DPPBA00074,JL RAYA BOGOR NO 3 CIMANDALA SUKARAJA,BOGOR    , ,LCPX12A06XXX,54.13 ,7.0,,,,,,,,,7.0,,,,,,,,,,,,,,,,MANUAL,C3000D,,
SO03-IDM210600234,1,Y,24/06/2021,LUDI PURNAMA,CU01511,PT BANGUN TIRTA SARANA,DPBTS00015,KR BOGOR R6 SUMMARECON BOGOR,BOGOR    , ,30PX12A06XXX,9.00 ,9.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,MANUAL,C3000D,,
SO02-IDM210300277,1,Y,24/06/2021,LUDI PURNAMA,CU03170,PT MITRA TATA ABADI BERSAMA,DPMTA00010,PROYEK SUMMARECON BOGOR PEKERJAAN SALURAN V-DITCH ROW-20,BOGOR    , ,27FD12A06XXX,9.00 ,7.0,,,7.0,,,,,,,,,,,,,,,,,,,,,,MANUAL,C0000E,,
