bma_file.bma01,bma_file.bma02,bma_file.bma03,bma_file.bma04,bma_file.bma05,bma_file.bmauser,bma_file.bmagrup,bma_file.bmamodu,bma_file.bmadate,bma_file.bmaacti,bma_file.bma06,bma_file.bma07,bma_file.bmaicd01,bma_file.bma08,bma_file.bma09,bma_file.bma10,bma_file.bmaud01,bma_file.bmaud02,bma_file.bmaud03,bma_file.bmaud04,bma_file.bmaud05,bma_file.bmaud06,bma_file.bmaud07,bma_file.bmaud08,bma_file.bmaud09,bma_file.bmaud10,bma_file.bmaud11,bma_file.bmaud12,bma_file.bmaud13,bma_file.bmaud14,bma_file.bmaud15,bma_file.bmaoriu,bma_file.bmaorig,bma_file.ta_bma01,ima02,
27FD16C06XXX,,,,2/14/2022 0:00,08401065,IDCGHO0320,08401065,2/14/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,16+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,K275KG/CM2-FA10-SL16-G14,568
30FD16C06XXX,,,,2/14/2022 0:00,08401065,IDCGHO0320,08401065,2/14/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,16+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,K300KG/CM2-FA10-SL16-G14,569
32FD16C06XXX,,,,2/14/2022 0:00,08401065,IDCGHO0320,08401065,2/14/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,16+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,K325KG/CM2-FA10-SL16-G14,570
35FD16C06XXX,,,,2/14/2022 0:00,08401065,IDCGHO0320,08401065,2/14/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,16+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,K350KG/CM2-FA10-SL16-G14,571
37FD16C06XXX,,,,2/14/2022 0:00,08401065,IDCGHO0320,08401065,2/14/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,16+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,K375KG/CM2-FA10-SL16-G14,572
40FD16C06XXX,,,,2/14/2022 0:00,08401065,IDCGHO0320,08401065,2/14/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,16+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,K400KG/CM2-FA10-SL16-G14,573
42FD16C06XXX,,,,2/14/2022 0:00,08401065,IDCGHO0320,08401065,2/14/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,16+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,K425KG/CM2-FA10-SL16-G14,574
10BD18C06XXX,,,,2/14/2022 0:00,08401065,IDCGHO0320,08401065,2/14/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,18+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,K100KG/CM2-FA10-SL18-G14,575
12BD18C06XXX,,,,2/14/2022 0:00,08401065,IDCGHO0320,08401065,2/14/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,18+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,K125KG/CM2-FA10-SL18-G14,576
15BD18C06XXX,,,,2/14/2022 0:00,08401065,IDCGHO0320,08401065,2/14/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,18+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,K150KG/CM2-FA10-SL18-G14,577
17BD18C06XXX,,,,2/14/2022 0:00,08401065,IDCGHO0320,08401065,2/14/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,18+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,K175KG/CM2-FA10-SL18-G14,578
20BD18C06XXX,,,,2/14/2022 0:00,08401065,IDCGHO0320,08401065,2/14/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,18+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,K200KG/CM2-FA10-SL18-G14,579
22BD18C06XXX,,,,2/14/2022 0:00,08401065,IDCGHO0320,08401065,2/14/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,18+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,K225KG/CM2-FA10-SL18-G14,580
25BD18C06XXX,,,,2/14/2022 0:00,08401065,IDCGHO0320,08401065,2/14/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,18+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,K250KG/CM2-FA10-SL18-G14,581
27BD18C06XXX,,,,2/14/2022 0:00,08401065,IDCGHO0320,08401065,2/14/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,18+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,K275KG/CM2-FA10-SL18-G14,582
30BD18C06XXX,,,,2/14/2022 0:00,08401065,IDCGHO0320,08401065,2/14/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,18+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,K300KG/CM2-FA10-SL18-G14,583
32BD18C06XXX,,,,2/14/2022 0:00,08401065,IDCGHO0320,08401065,2/14/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,18+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,K325KG/CM2-FA10-SL18-G14,584
35BD18C06XXX,,,,2/14/2022 0:00,08401065,IDCGHO0320,08401065,2/14/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,18+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,K350KG/CM2-FA10-SL18-G14,585
37BD18C06XXX,,,,2/14/2022 0:00,08401065,IDCGHO0320,08401065,2/14/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,18+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,K375KG/CM2-FA10-SL18-G14,586
40BD18C06XXX,,,,2/14/2022 0:00,08401065,IDCGHO0320,08401065,2/14/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,18+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,K400KG/CM2-FA10-SL18-G14,587
42BD18C06XXX,,,,2/14/2022 0:00,08401065,IDCGHO0320,08401065,2/14/2022 0:00,Y,R41CTP-801,,,CG_TEST,0,2,,,18+/-2,,,,,,,,,,,,,tiptop,IDCGHO0320,N,K425KG/CM2-FA10-SL18-G14,588
