bmb_file.bmb01,bmb_file.bmb02,bmb_file.bmb03,bmb_file.bmb04,bmb_file.bmb05,bmb_file.bmb06,bmb_file.bmb07,bmb_file.bmb08,bmb_file.bmb09,bmb_file.bmb10,bmb_file.bmb10_fac,bmb_file.bmb10_fac2,bmb_file.bmb11,bmb_file.bmb13,bmb_file.bmb14,bmb_file.bmb15,bmb_file.bmb16,bmb_file.bmb17,bmb_file.bmb18,bmb_file.bmb19,bmb_file.bmb20,bmb_file.bmb21,bmb_file.bmb22,bmb_file.bmb23,bmb_file.bmb24,bmb_file.bmb25,bmb_file.bmb26,bmb_file.bmb27,bmb_file.bmb28,bmb_file.bmbmodu,bmb_file.bmbdate,bmb_file.bmbcomm,bmb_file.bmb29,bmb_file.bmb30,bmb_file.bmb31,bmb_file.bmb33,bmb_file.bmbud01,bmb_file.bmbud02,bmb_file.bmbud03,bmb_file.bmbud04,bmb_file.bmbud05,bmb_file.bmbud06,bmb_file.bmbud07,bmb_file.bmbud08,bmb_file.bmbud09,bmb_file.bmbud10,bmb_file.bmbud11,bmb_file.bmbud12,bmb_file.bmbud13,bmb_file.bmbud14,bmb_file.bmbud15,bmb_file.bmb081,bmb_file.bmb082,bmb_file.bmb36,bmb_file.bmb37,ima02,,,,,,,,,
10MX12A06JSP,,0000-000015,,,0,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,FA,10MX12A06JSPFA,,,,,,,,
10MX12A06JSP,,0000-100011,,,305,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,SEMEN,10MX12A06JSPSEMEN,,,,,,,,
10MX12A06JSP,,0000-100030,,,195,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,WATER,10MX12A06JSPWATER,,,,,,,,
10MX12A06JSP,,0000-100090,,,291,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,AGG1,10MX12A06JSPAGG1,,,,,,,,
10MX12A06JSP,,0000-100091,,,679,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,AGG2,10MX12A06JSPAGG2,,,,,,,,
10MX12A06JSP,,0000-100092,,,0,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,AGG3,10MX12A06JSPAGG3,,,,,,,,
10MX12A06JSP,,0000-100094,,,664,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,SAND,10MX12A06JSPSAND,,,,,,,,
10MX12A06JSP,,0000-100093,,,166,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,STONE DUST,10MX12A06JSPSTONE DUST,,,,,,,,
10MX12A06JSP,,0002-100440,,,0,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,FLBNF-15,10MX12A06JSPFLBNF-15,,,,,,,,
10MX12A06JSP,,0002-100442,,,0,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,FLB-RPF34,10MX12A06JSPFLB-RPF34,,,,,,,,
10MX12A06JSP,,0002-100449,,,0.915,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,FLBPD-14,10MX12A06JSPFLBPD-14,1,10MX12A06JSPFA,0,10MX12A06JSPSEMEN,305,305,0.30%,0.915
12BX18A06RBC,,0000-000015,,,0,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,FA,12BX18A06RBCFA,,,,,,,,
12BX18A06RBC,,0000-100011,,,276,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,SEMEN,12BX18A06RBCSEMEN,,,,,,,,
12BX18A06RBC,,0000-100030,,,214,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,WATER,12BX18A06RBCWATER,,,,,,,,
12BX18A06RBC,,0000-100090,,,260,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,AGG1,12BX18A06RBCAGG1,,,,,,,,
12BX18A06RBC,,0000-100091,,,607,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,AGG2,12BX18A06RBCAGG2,,,,,,,,
12BX18A06RBC,,0000-100092,,,0,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,AGG3,12BX18A06RBCAGG3,,,,,,,,
12BX18A06RBC,,0000-100094,,,726,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,SAND,12BX18A06RBCSAND,,,,,,,,
12BX18A06RBC,,0000-100093,,,181,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,STONE DUST,12BX18A06RBCSTONE DUST,,,,,,,,
12BX18A06RBC,,0002-100440,,,0,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,FLBNF-15,12BX18A06RBCFLBNF-15,,,,,,,,
12BX18A06RBC,,0002-100442,,,0,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,FLB-RPF34,12BX18A06RBCFLB-RPF34,,,,,,,,
12BX18A06RBC,,0002-100449,,,0.828,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,FLBPD-14,12BX18A06RBCFLBPD-14,1,12BX18A06RBCFA,0,12BX18A06RBCSEMEN,276,276,0.30%,0.828
15MI10A06BGR,,0000-000015,,,49,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,FA,15MI10A06BGRFA,,,,,,,,
15MI10A06BGR,,0000-100011,,,278,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,SEMEN,15MI10A06BGRSEMEN,,,,,,,,
15MI10A06BGR,,0000-100030,,,185,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,WATER,15MI10A06BGRWATER,,,,,,,,
15MI10A06BGR,,0000-100090,,,295,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,AGG1,15MI10A06BGRAGG1,,,,,,,,
15MI10A06BGR,,0000-100091,,,689,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,AGG2,15MI10A06BGRAGG2,,,,,,,,
15MI10A06BGR,,0000-100092,,,0,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,AGG3,15MI10A06BGRAGG3,,,,,,,,
15MI10A06BGR,,0000-100094,,,650,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,SAND,15MI10A06BGRSAND,,,,,,,,
15MI10A06BGR,,0000-100093,,,162,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,STONE DUST,15MI10A06BGRSTONE DUST,,,,,,,,
15MI10A06BGR,,0002-100440,,,0,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,FLBNF-15,15MI10A06BGRFLBNF-15,,,,,,,,
15MI10A06BGR,,0002-100442,,,0,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,FLB-RPF34,15MI10A06BGRFLB-RPF34,,,,,,,,
15MI10A06BGR,,0002-100449,,,0.981,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,FLBPD-14,15MI10A06BGRFLBPD-14,1,15MI10A06BGRFA,49,15MI10A06BGRSEMEN,278,327,0.30%,0.981
15MX10A06BGR,,0000-000015,,,0,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,FA,15MX10A06BGRFA,,,,,,,,
15MX10A06BGR,,0000-100011,,,312,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,SEMEN,15MX10A06BGRSEMEN,,,,,,,,
15MX10A06BGR,,0000-100030,,,190,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,WATER,15MX10A06BGRWATER,,,,,,,,
15MX10A06BGR,,0000-100090,,,297,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,AGG1,15MX10A06BGRAGG1,,,,,,,,
15MX10A06BGR,,0000-100091,,,694,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,AGG2,15MX10A06BGRAGG2,,,,,,,,
15MX10A06BGR,,0000-100092,,,0,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,AGG3,15MX10A06BGRAGG3,,,,,,,,
15MX10A06BGR,,0000-100094,,,654,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,SAND,15MX10A06BGRSAND,,,,,,,,
15MX10A06BGR,,0000-100093,,,164,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,STONE DUST,15MX10A06BGRSTONE DUST,,,,,,,,
15MX10A06BGR,,0002-100440,,,0,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,FLBNF-15,15MX10A06BGRFLBNF-15,,,,,,,,
15MX10A06BGR,,0002-100442,,,0,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,FLB-RPF34,15MX10A06BGRFLB-RPF34,,,,,,,,
15MX10A06BGR,,0002-100449,,,0.936,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,FLBPD-14,15MX10A06BGRFLBPD-14,1,15MX10A06BGRFA,0,15MX10A06BGRSEMEN,312,312,0.30%,0.936
15MX12A06BGR,,0000-000015,,,0,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,FA,15MX12A06BGRFA,,,,,,,,
15MX12A06BGR,,0000-100011,,,320,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,SEMEN,15MX12A06BGRSEMEN,,,,,,,,
15MX12A06BGR,,0000-100030,,,195,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,WATER,15MX12A06BGRWATER,,,,,,,,
15MX12A06BGR,,0000-100090,,,294,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,AGG1,15MX12A06BGRAGG1,,,,,,,,
15MX12A06BGR,,0000-100091,,,686,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,AGG2,15MX12A06BGRAGG2,,,,,,,,
15MX12A06BGR,,0000-100092,,,0,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,AGG3,15MX12A06BGRAGG3,,,,,,,,
15MX12A06BGR,,0000-100094,,,646,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,SAND,15MX12A06BGRSAND,,,,,,,,
15MX12A06BGR,,0000-100093,,,162,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,STONE DUST,15MX12A06BGRSTONE DUST,,,,,,,,
15MX12A06BGR,,0002-100440,,,0,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,FLBNF-15,15MX12A06BGRFLBNF-15,,,,,,,,
15MX12A06BGR,,0002-100442,,,0,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,FLB-RPF34,15MX12A06BGRFLB-RPF34,,,,,,,,
15MX12A06BGR,,0002-100449,,,0.960,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,FLBPD-14,15MX12A06BGRFLBPD-14,1,15MX12A06BGRFA,0,15MX12A06BGRSEMEN,320,320,0.30%,0.96
17PX10A06RBC,,0000-000015,,,0,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,FA,17PX10A06RBCFA,,,,,,,,
17PX10A06RBC,,0000-100011,,,325,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,SEMEN,17PX10A06RBCSEMEN,,,,,,,,
17PX10A06RBC,,0000-100030,,,195,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,WATER,17PX10A06RBCWATER,,,,,,,,
17PX10A06RBC,,0000-100090,,,294,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,AGG1,17PX10A06RBCAGG1,,,,,,,,
17PX10A06RBC,,0000-100091,,,685,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,AGG2,17PX10A06RBCAGG2,,,,,,,,
17PX10A06RBC,,0000-100092,,,0,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,AGG3,17PX10A06RBCAGG3,,,,,,,,
17PX10A06RBC,,0000-100094,,,643,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,SAND,17PX10A06RBCSAND,,,,,,,,
17PX10A06RBC,,0000-100093,,,161,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,STONE DUST,17PX10A06RBCSTONE DUST,,,,,,,,
