bmb_file.bmb01,bmb_file.bmb02,bmb_file.bmb03,bmb_file.bmb04,bmb_file.bmb05,bmb_file.bmb06,bmb_file.bmb07,bmb_file.bmb08,bmb_file.bmb09,bmb_file.bmb10,bmb_file.bmb10_fac,bmb_file.bmb10_fac2,bmb_file.bmb11,bmb_file.bmb13,bmb_file.bmb14,bmb_file.bmb15,bmb_file.bmb16,bmb_file.bmb17,bmb_file.bmb18,bmb_file.bmb19,bmb_file.bmb20,bmb_file.bmb21,bmb_file.bmb22,bmb_file.bmb23,bmb_file.bmb24,bmb_file.bmb25,bmb_file.bmb26,bmb_file.bmb27,bmb_file.bmb28,bmb_file.bmbmodu,bmb_file.bmbdate,bmb_file.bmbcomm,bmb_file.bmb29,bmb_file.bmb30,bmb_file.bmb31,bmb_file.bmb33,bmb_file.bmbud01,bmb_file.bmbud02,bmb_file.bmbud03,bmb_file.bmbud04,bmb_file.bmbud05,bmb_file.bmbud06,bmb_file.bmbud07,bmb_file.bmbud08,bmb_file.bmbud09,bmb_file.bmbud10,bmb_file.bmbud11,bmb_file.bmbud12,bmb_file.bmbud13,bmb_file.bmbud14,bmb_file.bmbud15,bmb_file.bmb081,bmb_file.bmb082,bmb_file.bmb36,bmb_file.bmb37,ima02,,,,,,,,,,
10FN12A06R1X,,0000-000015,,,47,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,FA,10FN12A06R1XFA,,,,,,,,,
10FN12A06R1X,,0000-100011,,,140,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,SEMEN,10FN12A06R1XSEMEN,,,,,,,,,
10FN12A06R1X,,0000-100030,,,183,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,WATER,10FN12A06R1XWATER,,,,,,,,,
10FN12A06R1X,,0000-100090,,,237,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,AGG1,10FN12A06R1XAGG1,1,10FN12A06R1XAGG1,236.6,10FN12A06R1XAGG2,946.4,1183,20%,20%,237
10FN12A06R1X,,0000-100091,,,946,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,AGG2,10FN12A06R1XAGG2,1,10FN12A06R1XAGG1,236.6,10FN12A06R1XAGG2,946.4,1183,80%,80%,946
10FN12A06R1X,,0000-100092,,,0,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,AGG3,10FN12A06R1XAGG3,,,,,,,,,
10FN12A06R1X,,0000-100094,,,589,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,SAND,10FN12A06R1XSAND,,,,,,,,,
10FN12A06R1X,,0000-100093,,,150,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,STONE DUST,10FN12A06R1XSTONE DUST,,,,,,,,,
10FN12A06R1X,,0002-100440,,,0.000,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,FLBNF-15,10FN12A06R1XFLBNF-15,,,,,,,,,
10FN12A06R1X,,0002-100442,,,0.000,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,FLB-RPF34,10FN12A06R1XFLB-RPF34,,,,,,,,,
10FN12A06R1X,,0002-100449,,,0.730,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,FLBPD-14,10FN12A06R1XFLBPD-14,,,,,,,,,
10FN12A06XXX,,0000-000015,,,46,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,FA,10FN12A06XXXFA,,,,,,,,,
10FN12A06XXX,,0000-100011,,,138,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,SEMEN,10FN12A06XXXSEMEN,,,,,,,,,
10FN12A06XXX,,0000-100030,,,181,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,WATER,10FN12A06XXXWATER,,,,,,,,,
10FN12A06XXX,,0000-100090,,,237,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,AGG1,10FN12A06XXXAGG1,1,10FN12A06XXXAGG1,236.6,10FN12A06XXXAGG2,946.4,1183,20%,20%,237
10FN12A06XXX,,0000-100091,,,946,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,AGG2,10FN12A06XXXAGG2,1,10FN12A06XXXAGG1,236.6,10FN12A06XXXAGG2,946.4,1183,80%,80%,946
10FN12A06XXX,,0000-100092,,,0,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,AGG3,10FN12A06XXXAGG3,,,,,,,,,
10FN12A06XXX,,0000-100094,,,596,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,SAND,10FN12A06XXXSAND,,,,,,,,,
10FN12A06XXX,,0000-100093,,,152,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,STONE DUST,10FN12A06XXXSTONE DUST,,,,,,,,,
10FN12A06XXX,,0002-100440,,,0.000,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,FLBNF-15,10FN12A06XXXFLBNF-15,,,,,,,,,
10FN12A06XXX,,0002-100442,,,0.000,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,FLB-RPF34,10FN12A06XXXFLB-RPF34,,,,,,,,,
10FN12A06XXX,,0002-100449,,,0.620,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,FLBPD-14,10FN12A06XXXFLBPD-14,,,,,,,,,
10FU12A06R1X,,0000-000015,,,37,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,FA,10FU12A06R1XFA,,,,,,,,,
10FU12A06R1X,,0000-100011,,,147,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,SEMEN,10FU12A06R1XSEMEN,,,,,,,,,
10FU12A06R1X,,0000-100030,,,183,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,WATER,10FU12A06R1XWATER,,,,,,,,,
10FU12A06R1X,,0000-100090,,,237,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,AGG1,10FU12A06R1XAGG1,1,10FU12A06R1XAGG1,236.6,10FU12A06R1XAGG2,946.4,1183,20%,20%,237
10FU12A06R1X,,0000-100091,,,946,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,AGG2,10FU12A06R1XAGG2,1,10FU12A06R1XAGG1,236.6,10FU12A06R1XAGG2,946.4,1183,80%,80%,946
10FU12A06R1X,,0000-100092,,,0,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,AGG3,10FU12A06R1XAGG3,,,,,,,,,
