bmb_file.bmb01,bmb_file.bmb02,bmb_file.bmb03,bmb_file.bmb04,bmb_file.bmb05,bmb_file.bmb06,bmb_file.bmb07,bmb_file.bmb08,bmb_file.bmb09,bmb_file.bmb10,bmb_file.bmb10_fac,bmb_file.bmb10_fac2,bmb_file.bmb11,bmb_file.bmb13,bmb_file.bmb14,bmb_file.bmb15,bmb_file.bmb16,bmb_file.bmb17,bmb_file.bmb18,bmb_file.bmb19,bmb_file.bmb20,bmb_file.bmb21,bmb_file.bmb22,bmb_file.bmb23,bmb_file.bmb24,bmb_file.bmb25,bmb_file.bmb26,bmb_file.bmb27,bmb_file.bmb28,bmb_file.bmbmodu,bmb_file.bmbdate,bmb_file.bmbcomm,bmb_file.bmb29,bmb_file.bmb30,bmb_file.bmb31,bmb_file.bmb33,bmb_file.bmbud01,bmb_file.bmbud02,bmb_file.bmbud03,bmb_file.bmbud04,bmb_file.bmbud05,bmb_file.bmbud06,bmb_file.bmbud07,bmb_file.bmbud08,bmb_file.bmbud09,bmb_file.bmbud10,bmb_file.bmbud11,bmb_file.bmbud12,bmb_file.bmbud13,bmb_file.bmbud14,bmb_file.bmbud15,bmb_file.bmb081,bmb_file.bmb082,bmb_file.bmb36,bmb_file.bmb37,ima02,,,,,,,,,,
08MN12A06R1X,,0002-100449,,,0.720,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,FLBPD-14,08MN12A06R1XFLBPD-14,,,,,,,,,
08MN12A06XXX,,0000-000015,,,45,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,FA,08MN12A06XXXFA,,,,,,,,,
08MN12A06XXX,,0000-100011,,,136,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,SEMEN,08MN12A06XXXSEMEN,,,,,,,,,
08MN12A06XXX,,0000-100030,,,181,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,WATER,08MN12A06XXXWATER,,,,,,,,,
08MN12A06XXX,,0000-100090,,,237,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,AGG1,08MN12A06XXXAGG1,1,08MN12A06XXXAGG1,236.6,08MN12A06XXXAGG2,946.4,1183,20%,20%,237
08MN12A06XXX,,0000-100091,,,946,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,AGG2,08MN12A06XXXAGG2,1,08MN12A06XXXAGG1,236.6,08MN12A06XXXAGG2,946.4,1183,80%,80%,946
08MN12A06XXX,,0000-100092,,,0,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,AGG3,08MN12A06XXXAGG3,,,,,,,,,
08MN12A06XXX,,0000-100094,,,598,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,SAND,08MN12A06XXXSAND,,,,,,,,,
08MN12A06XXX,,0000-100093,,,152,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,STONE DUST,08MN12A06XXXSTONE DUST,,,,,,,,,
08MN12A06XXX,,0002-100440,,,0.000,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,FLBNF-15,08MN12A06XXXFLBNF-15,,,,,,,,,
08MN12A06XXX,,0002-100442,,,0.000,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,FLB-RPF34,08MN12A06XXXFLB-RPF34,,,,,,,,,
08MN12A06XXX,,0002-100449,,,0.610,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,FLBPD-14,08MN12A06XXXFLBPD-14,,,,,,,,,
08MU12A06R1X,,0000-000015,,,36,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,FA,08MU12A06R1XFA,,,,,,,,,
08MU12A06R1X,,0000-100011,,,145,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,SEMEN,08MU12A06R1XSEMEN,,,,,,,,,
08MU12A06R1X,,0000-100030,,,183,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,WATER,08MU12A06R1XWATER,,,,,,,,,
08MU12A06R1X,,0000-100090,,,237,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,AGG1,08MU12A06R1XAGG1,1,08MU12A06R1XAGG1,236.6,08MU12A06R1XAGG2,946.4,1183,20%,20%,237
08MU12A06R1X,,0000-100091,,,946,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,AGG2,08MU12A06R1XAGG2,1,08MU12A06R1XAGG1,236.6,08MU12A06R1XAGG2,946.4,1183,80%,80%,946
08MU12A06R1X,,0000-100092,,,0,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,AGG3,08MU12A06R1XAGG3,,,,,,,,,
08MU12A06R1X,,0000-100094,,,596,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,SAND,08MU12A06R1XSAND,,,,,,,,,
08MU12A06R1X,,0000-100093,,,152,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,STONE DUST,08MU12A06R1XSTONE DUST,,,,,,,,,
08MU12A06R1X,,0002-100440,,,0.000,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,FLBNF-15,08MU12A06R1XFLBNF-15,,,,,,,,,
08MU12A06R1X,,0002-100442,,,0.000,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,FLB-RPF34,08MU12A06R1XFLB-RPF34,,,,,,,,,
08MU12A06R1X,,0002-100449,,,0.710,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,FLBPD-14,08MU12A06R1XFLBPD-14,,,,,,,,,
08MU12A06XXX,,0000-000015,,,36,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,FA,08MU12A06XXXFA,,,,,,,,,
08MU12A06XXX,,0000-100011,,,143,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,SEMEN,08MU12A06XXXSEMEN,,,,,,,,,
08MU12A06XXX,,0000-100030,,,181,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,WATER,08MU12A06XXXWATER,,,,,,,,,
08MU12A06XXX,,0000-100090,,,237,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,AGG1,08MU12A06XXXAGG1,1,08MU12A06XXXAGG1,236.6,08MU12A06XXXAGG2,946.4,1183,20%,20%,237
08MU12A06XXX,,0000-100091,,,946,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,AGG2,08MU12A06XXXAGG2,1,08MU12A06XXXAGG1,236.6,08MU12A06XXXAGG2,946.4,1183,80%,80%,946
08MU12A06XXX,,0000-100092,,,0,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,AGG3,08MU12A06XXXAGG3,,,,,,,,,
08MU12A06XXX,,0000-100094,,,603,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,SAND,08MU12A06XXXSAND,,,,,,,,,
08MU12A06XXX,,0000-100093,,,154,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,STONE DUST,08MU12A06XXXSTONE DUST,,,,,,,,,
08MU12A06XXX,,0002-100440,,,0.000,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,FLBNF-15,08MU12A06XXXFLBNF-15,,,,,,,,,
08MU12A06XXX,,0002-100442,,,0.000,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,FLB-RPF34,08MU12A06XXXFLB-RPF34,,,,,,,,,
08MU12A06XXX,,0002-100449,,,0.600,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,FLBPD-14,08MU12A06XXXFLBPD-14,,,,,,,,,
08MX12A06R1X,,0000-000015,,,0,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,FA,08MX12A06R1XFA,,,,,,,,,
08MX12A06R1X,,0000-100011,,,176,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,SEMEN,08MX12A06R1XSEMEN,,,,,,,,,
08MX12A06R1X,,0000-100030,,,190,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,WATER,08MX12A06R1XWATER,,,,,,,,,
08MX12A06R1X,,0000-100090,,,237,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,AGG1,08MX12A06R1XAGG1,1,08MX12A06R1XAGG1,236.6,08MX12A06R1XAGG2,946.4,1183,20%,20%,237
08MX12A06R1X,,0000-100091,,,946,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,AGG2,08MX12A06R1XAGG2,1,08MX12A06R1XAGG1,236.6,08MX12A06R1XAGG2,946.4,1183,80%,80%,946
08MX12A06R1X,,0000-100092,,,0,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,AGG3,08MX12A06R1XAGG3,,,,,,,,,
08MX12A06R1X,,0000-100094,,,596,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,SAND,08MX12A06R1XSAND,,,,,,,,,
08MX12A06R1X,,0000-100093,,,152,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,STONE DUST,08MX12A06R1XSTONE DUST,,,,,,,,,
08MX12A06R1X,,0002-100440,,,0.000,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,FLBNF-15,08MX12A06R1XFLBNF-15,,,,,,,,,
08MX12A06R1X,,0002-100442,,,0.000,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,FLB-RPF34,08MX12A06R1XFLB-RPF34,,,,,,,,,
08MX12A06R1X,,0002-100449,,,0.690,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,FLBPD-14,08MX12A06R1XFLBPD-14,,,,,,,,,
08MX12A06XXX,,0000-000015,,,0,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,FA,08MX12A06XXXFA,,,,,,,,,
08MX12A06XXX,,0000-100011,,,174,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,SEMEN,08MX12A06XXXSEMEN,,,,,,,,,
08MX12A06XXX,,0000-100030,,,188,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,WATER,08MX12A06XXXWATER,,,,,,,,,
08MX12A06XXX,,0000-100090,,,237,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,AGG1,08MX12A06XXXAGG1,1,08MX12A06XXXAGG1,236.6,08MX12A06XXXAGG2,946.4,1183,20%,20%,237
08MX12A06XXX,,0000-100091,,,946,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,AGG2,08MX12A06XXXAGG2,1,08MX12A06XXXAGG1,236.6,08MX12A06XXXAGG2,946.4,1183,80%,80%,946
08MX12A06XXX,,0000-100092,,,0,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,AGG3,08MX12A06XXXAGG3,,,,,,,,,
08MX12A06XXX,,0000-100094,,,603,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,SAND,08MX12A06XXXSAND,,,,,,,,,
08MX12A06XXX,,0000-100093,,,154,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,STONE DUST,08MX12A06XXXSTONE DUST,,,,,,,,,
08MX12A06XXX,,0002-100440,,,0.000,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,FLBNF-15,08MX12A06XXXFLBNF-15,,,,,,,,,
08MX12A06XXX,,0002-100442,,,0.000,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,FLB-RPF34,08MX12A06XXXFLB-RPF34,,,,,,,,,
08MX12A06XXX,,0002-100449,,,0.580,,,,,,,,,,,,,,,,,,,,R41-0-01,,,,,,,R41CTP-801,,,,,,,,,,,,,,,,,,,,,,,FLBPD-14,08MX12A06XXXFLBPD-14,,,,,,,,,
