bma_file.bma01,bma_file.bma02,bma_file.bma03,bma_file.bma04,bma_file.bma05,bma_file.bmauser,bma_file.bmagrup,bma_file.bmamodu,bma_file.bmadate,bma_file.bmaacti,bma_file.bma06,bma_file.bma07,bma_file.bmaicd01,bma_file.bma08,bma_file.bma09,bma_file.bma10,bma_file.bmaud01,bma_file.bmaud02,bma_file.bmaud03,bma_file.bmaud04,bma_file.bmaud05,bma_file.bmaud06,bma_file.bmaud07,bma_file.bmaud08,bma_file.bmaud09,bma_file.bmaud10,bma_file.bmaud11,bma_file.bmaud12,bma_file.bmaud13,bma_file.bmaud14,bma_file.bmaud15,bma_file.bmaoriu,bma_file.bmaorig,bma_file.ta_bma01,ima02,SBT CON-M,
40PX12A06P3R,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,K400KG/CM2-NORM-SL12-G25,1.317,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=40PX12A06P3R
40PX12A06TMI,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,K400KG/CM2-NORM-SL12-G25,1.197,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=40PX12A06TMI
40PX18A06P3R,,,,,,,,,,R01JAT-801,,,,,,,,18+/-2,,,,,,,,,,,,,,,,K400KG/CM2-NORM-SL18-G25,1.389,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=40PX18A06P3R
45FD12A06ASP,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,K450KG/CM2-FA10-SL12-G25,1.431,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=45FD12A06ASP
45PX12A06J3D,,,,,,,,,,R01JAT-801,,,,,,,,MIN 12,,,,,,,,,,,,,,,,K450KG/CM2-ACC3DAYS-G25,1.62,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=45PX12A06J3D
45PXFLA06A1D,,,,,,,,,,R01JAT-801,,,,,,,,FLOW,,,,,,,,,,,,,,,,K450KG/CM2-OPENTRAFFIC1DAY,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=45PXFLA06A1D
45RX08A06R3D,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,FS45KG/CM2-ACL-G25-R3D,1.62,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=45RX08A06R3D
50PX12A06PTP,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,K500KG/CM2-NORM-SL12-G25,1.65,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=50PX12A06PTP
BC14XXA06NCC,,,,,,,,,,R01JAT-801,,,,,,,,NON SLUMP,,,,,,,,,,,,,,,,BASECOURSE-NONACC,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=BC14XXA06NCC
BC14XXC11XXX,,,,,,,,,,R01JAT-801,,,,,,,,NON SLUMP,,,,,,,,,,,,,,,,BC14-G14,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=BC14XXC11XXX
