bmb_file.bmb01,bmb_file.bmb02,bmb_file.bmb03,bmb_file.bmb04,bmb_file.bmb05,bmb_file.bmb06,bmb_file.bmb07,bmb_file.bmb08,bmb_file.bmb09,bmb_file.bmb10,bmb_file.bmb10_fac,bmb_file.bmb10_fac2,bmb_file.bmb11,bmb_file.bmb13,bmb_file.bmb14,bmb_file.bmb15,bmb_file.bmb16,bmb_file.bmb17,bmb_file.bmb18,bmb_file.bmb19,bmb_file.bmb20,bmb_file.bmb21,bmb_file.bmb22,bmb_file.bmb23,bmb_file.bmb24,bmb_file.bmb25,bmb_file.bmb26,bmb_file.bmb27,bmb_file.bmb28,bmb_file.bmbmodu,bmb_file.bmbdate,bmb_file.bmbcomm,bmb_file.bmb29,bmb_file.bmb30,bmb_file.bmb31,bmb_file.bmb33,bmb_file.bmbud01,bmb_file.bmbud02,bmb_file.bmbud03,bmb_file.bmbud04,bmb_file.bmbud05,bmb_file.bmbud06,bmb_file.bmbud07,bmb_file.bmbud08,bmb_file.bmbud09,bmb_file.bmbud10,bmb_file.bmbud11,bmb_file.bmbud12,bmb_file.bmbud13,bmb_file.bmbud14,bmb_file.bmbud15,bmb_file.bmb081,bmb_file.bmb082,bmb_file.bmb36,bmb_file.bmb37,ima02,,,,,,,,
30MX05C06TMI,,0000-100094,,,605,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SAND,30MX05C06TMISAND,,,,,,,
30MX05C06TMI,,0000-100093,,,151,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,STONE DUST,30MX05C06TMISTONE DUST,,,,,,,
30MX05C06TMI,,0002-100020,,,1.068,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SBT CON-M,30MX05C06TMISBT CON-M,30MX05C06TMIFA,0,30MX05C06TMISEMEN,356,356,0.30%,1.068
30MX05C06TMI,,0002-100021,,,0,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SBT PCA-8S,30MX05C06TMISBT PCA-8S,,,,,,,
30MX05C06TMI,,0002-100202,,,0,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SBT JM-9,30MX05C06TMISBT JM-9,,,,,,,
30MX12A06TMI,,0000-000015,,,0,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,FA,30MX12A06TMIFA,,,,,,,
30MX12A06TMI,,0000-100011,,,364,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SEMEN,30MX12A06TMISEMEN,,,,,,,
30MX12A06TMI,,0000-100030,,,195,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,WATER,30MX12A06TMIWATER,,,,,,,
30MX12A06TMI,,0000-100090,,,320,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,AGG1,30MX12A06TMIAGG1,,,,,,,
30MX12A06TMI,,0000-100091,,,746,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,AGG2,30MX12A06TMIAGG2,,,,,,,
30MX12A06TMI,,0000-100092,,,0,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,AGG3,30MX12A06TMIAGG3,,,,,,,
30MX12A06TMI,,0000-100094,,,550,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SAND,30MX12A06TMISAND,,,,,,,
30MX12A06TMI,,0000-100093,,,137,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,STONE DUST,30MX12A06TMISTONE DUST,,,,,,,
30MX12A06TMI,,0002-100020,,,1.092,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SBT CON-M,30MX12A06TMISBT CON-M,30MX12A06TMIFA,0,30MX12A06TMISEMEN,364,364,0.30%,1.092
30MX12A06TMI,,0002-100021,,,0,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SBT PCA-8S,30MX12A06TMISBT PCA-8S,,,,,,,
30MX12A06TMI,,0002-100202,,,0,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SBT JM-9,30MX12A06TMISBT JM-9,,,,,,,
30MX12A06WHM,,0000-000015,,,0,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,FA,30MX12A06WHMFA,,,,,,,
30MX12A06WHM,,0000-100011,,,410,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SEMEN,30MX12A06WHMSEMEN,,,,,,,
30MX12A06WHM,,0000-100030,,,175,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,WATER,30MX12A06WHMWATER,,,,,,,
30MX12A06WHM,,0000-100090,,,328,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,AGG1,30MX12A06WHMAGG1,,,,,,,
30MX12A06WHM,,0000-100091,,,764,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,AGG2,30MX12A06WHMAGG2,,,,,,,
30MX12A06WHM,,0000-100092,,,0,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,AGG3,30MX12A06WHMAGG3,,,,,,,
30MX12A06WHM,,0000-100094,,,542,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SAND,30MX12A06WHMSAND,,,,,,,
30MX12A06WHM,,0000-100093,,,135,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,STONE DUST,30MX12A06WHMSTONE DUST,,,,,,,
30MX12A06WHM,,0002-100020,,,1.23,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SBT CON-M,30MX12A06WHMSBT CON-M,30MX12A06WHMFA,0,30MX12A06WHMSEMEN,410,410,0.30%,1.23
30MX12A06WHM,,0002-100021,,,0,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SBT PCA-8S,30MX12A06WHMSBT PCA-8S,,,,,,,
30MX12A06WHM,,0002-100202,,,3.074,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SBT JM-9,30MX12A06WHMSBT JM-9,,,,,,,
30PX12A06A1D,,0000-000015,,,0,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,FA,30PX12A06A1DFA,,,,,,,
30PX12A06A1D,,0000-100011,,,560,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SEMEN,30PX12A06A1DSEMEN,,,,,,,
30PX12A06A1D,,0000-100030,,,130,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,WATER,30PX12A06A1DWATER,,,,,,,
30PX12A06A1D,,0000-100090,,,321,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,AGG1,30PX12A06A1DAGG1,,,,,,,
30PX12A06A1D,,0000-100091,,,749,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,AGG2,30PX12A06A1DAGG2,,,,,,,
30PX12A06A1D,,0000-100092,,,0,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,AGG3,30PX12A06A1DAGG3,,,,,,,
30PX12A06A1D,,0000-100094,,,346,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SAND,30PX12A06A1DSAND,,,,,,,
30PX12A06A1D,,0000-100093,,,334,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,STONE DUST,30PX12A06A1DSTONE DUST,,,,,,,
30PX12A06A1D,,0002-100020,,,1.68,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SBT CON-M,30PX12A06A1DSBT CON-M,30PX12A06A1DFA,0,30PX12A06A1DSEMEN,560,560,0.30%,1.68
30PX12A06A1D,,0002-100021,,,4.48,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SBT PCA-8S,30PX12A06A1DSBT PCA-8S,,,,,,,
30PX12A06A1D,,0002-100202,,,0,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SBT JM-9,30PX12A06A1DSBT JM-9,,,,,,,
30PX12A06MCT,,0000-000015,,,0,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,FA,30PX12A06MCTFA,,,,,,,
30PX12A06MCT,,0000-100011,,,309,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SEMEN,30PX12A06MCTSEMEN,,,,,,,
30PX12A06MCT,,0000-100030,,,190,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,WATER,30PX12A06MCTWATER,,,,,,,
30PX12A06MCT,,0000-100090,,,310,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,AGG1,30PX12A06MCTAGG1,,,,,,,
30PX12A06MCT,,0000-100091,,,711,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,AGG2,30PX12A06MCTAGG2,,,,,,,
30PX12A06MCT,,0000-100092,,,0,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,AGG3,30PX12A06MCTAGG3,,,,,,,
30PX12A06MCT,,0000-100094,,,601,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SAND,30PX12A06MCTSAND,,,,,,,
30PX12A06MCT,,0000-100093,,,150,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,STONE DUST,30PX12A06MCTSTONE DUST,,,,,,,
30PX12A06MCT,,0002-100020,,,0.927,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SBT CON-M,30PX12A06MCTSBT CON-M,30PX12A06MCTFA,0,30PX12A06MCTSEMEN,309,309,0.30%,0.927
30PX12A06MCT,,0002-100021,,,0,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SBT PCA-8S,30PX12A06MCTSBT PCA-8S,,,,,,,
30PX12A06MCT,,0002-100202,,,0,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SBT JM-9,30PX12A06MCTSBT JM-9,,,,,,,
30PX12A06RDB,,0000-000015,,,0,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,FA,30PX12A06RDBFA,,,,,,,
30PX12A06RDB,,0000-100011,,,343,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SEMEN,30PX12A06RDBSEMEN,,,,,,,
30PX12A06RDB,,0000-100030,,,195,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,WATER,30PX12A06RDBWATER,,,,,,,
30PX12A06RDB,,0000-100090,,,296,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,AGG1,30PX12A06RDBAGG1,,,,,,,
30PX12A06RDB,,0000-100091,,,691,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,AGG2,30PX12A06RDBAGG2,,,,,,,
30PX12A06RDB,,0000-100092,,,0,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,AGG3,30PX12A06RDBAGG3,,,,,,,
30PX12A06RDB,,0000-100094,,,623,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SAND,30PX12A06RDBSAND,,,,,,,
30PX12A06RDB,,0000-100093,,,156,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,STONE DUST,30PX12A06RDBSTONE DUST,,,,,,,
30PX12A06RDB,,0002-100020,,,1.029,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SBT CON-M,30PX12A06RDBSBT CON-M,30PX12A06RDBFA,0,30PX12A06RDBSEMEN,343,343,0.30%,1.029
30PX12A06RDB,,0002-100021,,,0,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SBT PCA-8S,30PX12A06RDBSBT PCA-8S,,,,,,,
30PX12A06RDB,,0002-100202,,,0,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SBT JM-9,30PX12A06RDBSBT JM-9,,,,,,,
30PX12A06RSV,,0000-000015,,,0,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,FA,30PX12A06RSVFA,,,,,,,
30PX12A06RSV,,0000-100011,,,379,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SEMEN,30PX12A06RSVSEMEN,,,,,,,
30PX12A06RSV,,0000-100030,,,195,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,WATER,30PX12A06RSVWATER,,,,,,,
30PX12A06RSV,,0000-100090,,,317,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,AGG1,30PX12A06RSVAGG1,,,,,,,
30PX12A06RSV,,0000-100091,,,741,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,AGG2,30PX12A06RSVAGG2,,,,,,,
30PX12A06RSV,,0000-100092,,,0,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,AGG3,30PX12A06RSVAGG3,,,,,,,
30PX12A06RSV,,0000-100094,,,546,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SAND,30PX12A06RSVSAND,,,,,,,
30PX12A06RSV,,0000-100093,,,136,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,STONE DUST,30PX12A06RSVSTONE DUST,,,,,,,
30PX12A06RSV,,0002-100020,,,1.137,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SBT CON-M,30PX12A06RSVSBT CON-M,30PX12A06RSVFA,0,30PX12A06RSVSEMEN,379,379,0.30%,1.137
30PX12A06RSV,,0002-100021,,,0,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SBT PCA-8S,30PX12A06RSVSBT PCA-8S,,,,,,,
30PX12A06RSV,,0002-100202,,,0,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SBT JM-9,30PX12A06RSVSBT JM-9,,,,,,,
30PX12A06TMI,,0000-000015,,,0,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,FA,30PX12A06TMIFA,,,,,,,
30PX12A06TMI,,0000-100011,,,343,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SEMEN,30PX12A06TMISEMEN,,,,,,,
30PX12A06TMI,,0000-100030,,,195,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,WATER,30PX12A06TMIWATER,,,,,,,
30PX12A06TMI,,0000-100090,,,302,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,AGG1,30PX12A06TMIAGG1,,,,,,,
30PX12A06TMI,,0000-100091,,,704,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,AGG2,30PX12A06TMIAGG2,,,,,,,
30PX12A06TMI,,0000-100092,,,0,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,AGG3,30PX12A06TMIAGG3,,,,,,,
30PX12A06TMI,,0000-100094,,,610,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SAND,30PX12A06TMISAND,,,,,,,
30PX12A06TMI,,0000-100093,,,152,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,STONE DUST,30PX12A06TMISTONE DUST,,,,,,,
30PX12A06TMI,,0002-100020,,,1.029,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SBT CON-M,30PX12A06TMISBT CON-M,30PX12A06TMIFA,0,30PX12A06TMISEMEN,343,343,0.30%,1.029
30PX12A06TMI,,0002-100021,,,0,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SBT PCA-8S,30PX12A06TMISBT PCA-8S,,,,,,,
30PX12A06TMI,,0002-100202,,,0,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SBT JM-9,30PX12A06TMISBT JM-9,,,,,,,
35FI10A06TGI,,0000-000015,,,72,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,FA,35FI10A06TGIFA,,,,,,,
35FI10A06TGI,,0000-100011,,,406,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SEMEN,35FI10A06TGISEMEN,,,,,,,
35FI10A06TGI,,0000-100030,,,195,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,WATER,35FI10A06TGIWATER,,,,,,,
35FI10A06TGI,,0000-100090,,,284,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,AGG1,35FI10A06TGIAGG1,,,,,,,
35FI10A06TGI,,0000-100091,,,664,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,AGG2,35FI10A06TGIAGG2,,,,,,,
35FI10A06TGI,,0000-100094,,,554,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SAND,35FI10A06TGISAND,,,,,,,
35FI10A06TGI,,0000-100093,,,138,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,STONE DUST,35FI10A06TGISTONE DUST,,,,,,,
35FI10A06TGI,,0002-100020,,,1.434,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SBT CON-M,35FI10A06TGISBT CON-M,35FI10A06TGIFA,72,35FI10A06TGISEMEN,406,478,0.30%,1.434
35MI14A06MBX,,0000-000015,,,69,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,FA,35MI14A06MBXFA,,,,,,,
35MI14A06MBX,,0000-100011,,,392,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SEMEN,35MI14A06MBXSEMEN,,,,,,,
35MI14A06MBX,,0000-100030,,,195,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,WATER,35MI14A06MBXWATER,,,,,,,
35MI14A06MBX,,0000-100090,,,302,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,AGG1,35MI14A06MBXAGG1,,,,,,,
35MI14A06MBX,,0000-100091,,,704,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,AGG2,35MI14A06MBXAGG2,,,,,,,
35MI14A06MBX,,0000-100092,,,0,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,AGG3,35MI14A06MBXAGG3,,,,,,,
35MI14A06MBX,,0000-100094,,,518,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SAND,35MI14A06MBXSAND,,,,,,,
35MI14A06MBX,,0000-100093,,,129,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,STONE DUST,35MI14A06MBXSTONE DUST,,,,,,,
35MI14A06MBX,,0002-100020,,,1.383,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SBT CON-M,35MI14A06MBXSBT CON-M,35MI14A06MBXFA,69,35MI14A06MBXSEMEN,392,461,0.30%,1.383
35MI14A06MBX,,0002-100021,,,0,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SBT PCA-8S,35MI14A06MBXSBT PCA-8S,,,,,,,
35MI14A06MBX,,0002-100202,,,0,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SBT JM-9,35MI14A06MBXSBT JM-9,,,,,,,
35PX06C06TMI,,0000-000015,,,0,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,FA,35PX06C06TMIFA,,,,,,,
35PX06C06TMI,,0000-100011,,,356,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SEMEN,35PX06C06TMISEMEN,,,,,,,
35PX06C06TMI,,0000-100030,,,180,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,WATER,35PX06C06TMIWATER,,,,,,,
35PX06C06TMI,,0000-100090,,,1035,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,AGG1,35PX06C06TMIAGG1,,,,,,,
35PX06C06TMI,,0000-100091,,,0,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,AGG2,35PX06C06TMIAGG2,,,,,,,
35PX06C06TMI,,0000-100092,,,0,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,AGG3,35PX06C06TMIAGG3,,,,,,,
35PX06C06TMI,,0000-100094,,,605,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SAND,35PX06C06TMISAND,,,,,,,
35PX06C06TMI,,0000-100093,,,151,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,STONE DUST,35PX06C06TMISTONE DUST,,,,,,,
35PX06C06TMI,,0002-100020,,,1.068,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SBT CON-M,35PX06C06TMISBT CON-M,35PX06C06TMIFA,0,35PX06C06TMISEMEN,356,356,0.30%,1.068
35PX06C06TMI,,0002-100021,,,0,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SBT PCA-8S,35PX06C06TMISBT PCA-8S,,,,,,,
35PX06C06TMI,,0002-100202,,,0,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SBT JM-9,35PX06C06TMISBT JM-9,,,,,,,
35PX10A06R3D,,0000-000015,,,0,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,FA,35PX10A06R3DFA,,,,,,,
35PX10A06R3D,,0000-100011,,,510,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SEMEN,35PX10A06R3DSEMEN,,,,,,,
35PX10A06R3D,,0000-100030,,,155,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,WATER,35PX10A06R3DWATER,,,,,,,
35PX10A06R3D,,0000-100090,,,327,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,AGG1,35PX10A06R3DAGG1,,,,,,,
35PX10A06R3D,,0000-100091,,,769,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,AGG2,35PX10A06R3DAGG2,,,,,,,
