bmb_file.bmb01,bmb_file.bmb02,bmb_file.bmb03,bmb_file.bmb04,bmb_file.bmb05,bmb_file.bmb06,bmb_file.bmb07,bmb_file.bmb08,bmb_file.bmb09,bmb_file.bmb10,bmb_file.bmb10_fac,bmb_file.bmb10_fac2,bmb_file.bmb11,bmb_file.bmb13,bmb_file.bmb14,bmb_file.bmb15,bmb_file.bmb16,bmb_file.bmb17,bmb_file.bmb18,bmb_file.bmb19,bmb_file.bmb20,bmb_file.bmb21,bmb_file.bmb22,bmb_file.bmb23,bmb_file.bmb24,bmb_file.bmb25,bmb_file.bmb26,bmb_file.bmb27,bmb_file.bmb28,bmb_file.bmbmodu,bmb_file.bmbdate,bmb_file.bmbcomm,bmb_file.bmb29,bmb_file.bmb30,bmb_file.bmb31,bmb_file.bmb33,bmb_file.bmbud01,bmb_file.bmbud02,bmb_file.bmbud03,bmb_file.bmbud04,bmb_file.bmbud05,bmb_file.bmbud06,bmb_file.bmbud07,bmb_file.bmbud08,bmb_file.bmbud09,bmb_file.bmbud10,bmb_file.bmbud11,bmb_file.bmbud12,bmb_file.bmbud13,bmb_file.bmbud14,bmb_file.bmbud15,bmb_file.bmb081,bmb_file.bmb082,bmb_file.bmb36,bmb_file.bmb37,ima02,,,,,,,,
17PX12A06TMI,,0002-100202,,,0,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SBT JM-9,17PX12A06TMISBT JM-9,,,,,,,
25MX12A06RST,,0000-000015,,,0,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,FA,25MX12A06RSTFA,,,,,,,
25MX12A06RST,,0000-100011,,,393,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SEMEN,25MX12A06RSTSEMEN,,,,,,,
25MX12A06RST,,0000-100030,,,195,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,WATER,25MX12A06RSTWATER,,,,,,,
25MX12A06RST,,0000-100090,,,300,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,AGG1,25MX12A06RSTAGG1,,,,,,,
25MX12A06RST,,0000-100091,,,699,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,AGG2,25MX12A06RSTAGG2,,,,,,,
25MX12A06RST,,0000-100092,,,0,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,AGG3,25MX12A06RSTAGG3,,,,,,,
25MX12A06RST,,0000-100094,,,583,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SAND,25MX12A06RSTSAND,,,,,,,
25MX12A06RST,,0000-100093,,,146,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,STONE DUST,25MX12A06RSTSTONE DUST,,,,,,,
25MX12A06RST,,0002-100020,,,1.179,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SBT CON-M,25MX12A06RSTSBT CON-M,25MX12A06RSTFA,0,25MX12A06RSTSEMEN,393,393,0.30%,1.179
25MX12A06RST,,0002-100021,,,0,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SBT PCA-8S,25MX12A06RSTSBT PCA-8S,,,,,,,
25MX12A06RST,,0002-100202,,,0,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SBT JM-9,25MX12A06RSTSBT JM-9,,,,,,,
25PX12A06TMI,,0000-000015,,,0,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,FA,25PX12A06TMIFA,,,,,,,
25PX12A06TMI,,0000-100011,,,311,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SEMEN,25PX12A06TMISEMEN,,,,,,,
25PX12A06TMI,,0000-100030,,,195,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,WATER,25PX12A06TMIWATER,,,,,,,
25PX12A06TMI,,0000-100090,,,295,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,AGG1,25PX12A06TMIAGG1,,,,,,,
25PX12A06TMI,,0000-100091,,,689,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,AGG2,25PX12A06TMIAGG2,,,,,,,
25PX12A06TMI,,0000-100092,,,0,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,AGG3,25PX12A06TMIAGG3,,,,,,,
25PX12A06TMI,,0000-100094,,,647,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SAND,25PX12A06TMISAND,,,,,,,
25PX12A06TMI,,0000-100093,,,162,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,STONE DUST,25PX12A06TMISTONE DUST,,,,,,,
25PX12A06TMI,,0002-100020,,,0.933,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SBT CON-M,25PX12A06TMISBT CON-M,25PX12A06TMIFA,0,25PX12A06TMISEMEN,311,311,0.30%,0.933
25PX12A06TMI,,0002-100021,,,0,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SBT PCA-8S,25PX12A06TMISBT PCA-8S,,,,,,,
25PX12A06TMI,,0002-100202,,,0,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SBT JM-9,25PX12A06TMISBT JM-9,,,,,,,
25PX12A06WHM,,0000-000015,,,0,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,FA,25PX12A06WHMFA,,,,,,,
25PX12A06WHM,,0000-100011,,,390,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SEMEN,25PX12A06WHMSEMEN,,,,,,,
25PX12A06WHM,,0000-100030,,,175,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,WATER,25PX12A06WHMWATER,,,,,,,
25PX12A06WHM,,0000-100090,,,325,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,AGG1,25PX12A06WHMAGG1,,,,,,,
25PX12A06WHM,,0000-100091,,,759,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,AGG2,25PX12A06WHMAGG2,,,,,,,
25PX12A06WHM,,0000-100092,,,0,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,AGG3,25PX12A06WHMAGG3,,,,,,,
25PX12A06WHM,,0000-100094,,,561,,,,,,,,,,,,,,,,,,,,R01-0-01,,,,,,,R01JAT-801,,,,,,,,,,,,,,,,,,,,,,,SAND,25PX12A06WHMSAND,,,,,,,
