bma_file.bma01,bma_file.bma02,bma_file.bma03,bma_file.bma04,bma_file.bma05,bma_file.bmauser,bma_file.bmagrup,bma_file.bmamodu,bma_file.bmadate,bma_file.bmaacti,bma_file.bma06,bma_file.bma07,bma_file.bmaicd01,bma_file.bma08,bma_file.bma09,bma_file.bma10,bma_file.bmaud01,bma_file.bmaud02,bma_file.bmaud03,bma_file.bmaud04,bma_file.bmaud05,bma_file.bmaud06,bma_file.bmaud07,bma_file.bmaud08,bma_file.bmaud09,bma_file.bmaud10,bma_file.bmaud11,bma_file.bmaud12,bma_file.bmaud13,bma_file.bmaud14,bma_file.bmaud15,bma_file.bmaoriu,bma_file.bmaorig,bma_file.ta_bma01,ima02,SBT CON-M,http://103.167.107.33:8001/
10MU12A06R1X,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,FC10MPA-FA20-G25-R1,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=10MU12A06R1X
10MU12A06XXX,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,FC10MPA-FA20-SL12-G25,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=10MU12A06XXX
10MU12C06R1X,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,FC10MPA-FA20-G14-R1,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=10MU12C06R1X
10MU12C06XXX,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,FC10MPA-FA20-SL12-G14,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=10MU12C06XXX
10MX12A06R1X,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,FC10MPA-NORM-G25-R1,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=10MX12A06R1X
10MX12A06XXX,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,FC10MPA-NORM-SL12-G25,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=10MX12A06XXX
10MX12C06R1X,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,FC10MPA-NORM-G14-R1,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=10MX12C06R1X
10MX12C06XXX,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,FC10MPA-NORM-SL12-G14,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=10MX12C06XXX
10PX12A06R1X,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,K100KG/CM2-NORM-G25-R1,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=10PX12A06R1X
10PX12A06XXX,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,K100KG/CM2-NORM-SL12-G25,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=10PX12A06XXX
10PX12C06R1X,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,K100KG/CM2-NORM-G14-R1,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=10PX12C06R1X
10PX12C06XXX,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,K100KG/CM2-NORM-SL12-G14,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=10PX12C06XXX
12FN12A06R1X,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,K125KG/CM2-FA-G25-R1,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=12FN12A06R1X
12FN12A06XXX,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,K125KG/CM2-FA-SL12-G25,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=12FN12A06XXX
12FN12C06R1X,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,K125KG/CM2-FA-G14-R1,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=12FN12C06R1X
12FN12C06XXX,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,K125KG/CM2-FA-SL12-G14,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=12FN12C06XXX
12FU12A06R1X,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,K125KG/CM2-FA20-G25-R1,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=12FU12A06R1X
12FU12A06XXX,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,K125KG/CM2-FA20-SL12-G25,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=12FU12A06XXX
12FU12C06R1X,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,K125KG/CM2-FA20-G14-R1,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=12FU12C06R1X
12FU12C06XXX,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,K125KG/CM2-FA20-SL12-G14,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=12FU12C06XXX
12MN12A06R1X,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,FC12MPA-FA-G25-R1,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=12MN12A06R1X
12MN12A06XXX,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,FC12MPA-FA-SL12-G25,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=12MN12A06XXX
12MN12C06R1X,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,FC12MPA-FA-G14-R1,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=12MN12C06R1X
12MN12C06XXX,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,FC12MPA-FA-SL12-G14,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=12MN12C06XXX
12MU12A06R1X,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,FC12MPA-FA20-G25-R1,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=12MU12A06R1X
12MU12A06XXX,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,FC12MPA-FA20-SL12-G25,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=12MU12A06XXX
12MU12C06R1X,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,FC12MPA-FA20-G14-R1,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=12MU12C06R1X
12MU12C06XXX,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,FC12MPA-FA20-SL12-G14,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=12MU12C06XXX
12MX12A06R1X,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,FC12MPA-NORM-G25-R1,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=12MX12A06R1X
12MX12A06XXX,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,FC12MPA-NORM-SL12-G25,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=12MX12A06XXX
12MX12C06R1X,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,FC12MPA-NORM-G14-R1,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=12MX12C06R1X
12MX12C06XXX,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,FC12MPA-NORM-SL12-G14,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=12MX12C06XXX
12PX12A06R1X,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,K125KG/CM2-NORM-G25-R1,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=12PX12A06R1X
12PX12A06XXX,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,K125KG/CM2-NORM-SL12-G25,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=12PX12A06XXX
12PX12C06R1X,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,K125KG/CM2-NORM-G14-R1,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=12PX12C06R1X
12PX12C06XXX,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,K125KG/CM2-NORM-SL12-G14,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=12PX12C06XXX
14MN12A06R1X,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,FC14MPA-FA-G25-R1,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=14MN12A06R1X
14MN12A06XXX,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,FC14MPA-FA-SL12-G25,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=14MN12A06XXX
14MN12C06R1X,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,FC14MPA-FA-G14-R1,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=14MN12C06R1X
14MN12C06XXX,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,FC14MPA-FA-SL12-G14,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=14MN12C06XXX
14MU12A06R1X,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,FC14MPA-FA20-G25-R1,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=14MU12A06R1X
14MU12A06XXX,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,FC14MPA-FA20-SL12-G25,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=14MU12A06XXX
14MU12C06R1X,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,FC14MPA-FA20-G14-R1,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=14MU12C06R1X
14MU12C06XXX,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,FC14MPA-FA20-SL12-G14,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=14MU12C06XXX
14MX12A06R1X,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,FC14MPA-NORM-G25-R1,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=14MX12A06R1X
14MX12A06XXX,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,FC14MPA-NORM-SL12-G25,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=14MX12A06XXX
14MX12C06R1X,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,FC14MPA-NORM-G14-R1,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=14MX12C06R1X
14MX12C06XXX,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,FC14MPA-NORM-SL12-G14,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=14MX12C06XXX
15FN12A06R1X,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,K150KG/CM2-FA-G25-R1,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=15FN12A06R1X
15FN12A06XXX,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,K150KG/CM2-FA-SL12-G25,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=15FN12A06XXX
15FN12C06R1X,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,K150KG/CM2-FA-G14-R1,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=15FN12C06R1X
15FN12C06XXX,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,K150KG/CM2-FA-SL12-G14,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=15FN12C06XXX
15FU12A06R1X,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,K150KG/CM2-FA20-G25-R1,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=15FU12A06R1X
15FU12A06XXX,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,K150KG/CM2-FA20-SL12-G25,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=15FU12A06XXX
15FU12C06R1X,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,K150KG/CM2-FA20-G14-R1,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=15FU12C06R1X
15FU12C06XXX,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,K150KG/CM2-FA20-SL12-G14,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=15FU12C06XXX
15MN12A06XXX,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,FC15MPA-FA-SL12-G25,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=15MN12A06XXX
15PX12A06R1X,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,K150KG/CM2-NORM-G25-R1,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=15PX12A06R1X
15PX12A06XXX,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,K150KG/CM2-NORM-SL12-G25,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=15PX12A06XXX
15PX12C06R1X,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,K150KG/CM2-NORM-G14-R1,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=15PX12C06R1X
15PX12C06XXX,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,K150KG/CM2-NORM-SL12-G14,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=15PX12C06XXX
16MN12A06R1X,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,FC16MPA-FA-G25-R1,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=16MN12A06R1X
16MN12A06XXX,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,FC16MPA-FA-SL12-G25,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=16MN12A06XXX
16MN12C06R1X,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,FC16MPA-FA-G14-R1,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=16MN12C06R1X
16MN12C06XXX,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,FC16MPA-FA-SL12-G14,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=16MN12C06XXX
16MU12A06R1X,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,FC16MPA-FA20-G25-R1,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=16MU12A06R1X
16MU12A06XXX,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,FC16MPA-FA20-SL12-G25,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=16MU12A06XXX
16MU12C06R1X,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,FC16MPA-FA20-G14-R1,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=16MU12C06R1X
16MU12C06XXX,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,FC16MPA-FA20-SL12-G14,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=16MU12C06XXX
16MX12A06R1X,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,FC16MPA-NORM-G25-R1,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=16MX12A06R1X
16MX12A06XXX,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,FC16MPA-NORM-SL12-G25,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=16MX12A06XXX
16MX12C06R1X,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,FC16MPA-NORM-G14-R1,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=16MX12C06R1X
16MX12C06XXX,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,FC16MPA-NORM-SL12-G14,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=16MX12C06XXX
17FI12A06XXX,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,K175KG/CM2-FA15-SL12-G25,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=17FI12A06XXX
17FN12A06R1X,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,K175KG/CM2-FA-G25-R1,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=17FN12A06R1X
17FN12A06XXX,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,K175KG/CM2-FA-SL12-G25,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=17FN12A06XXX
17FN12C06R1X,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,K175KG/CM2-FA-G14-R1,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=17FN12C06R1X
17FN12C06XXX,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,K175KG/CM2-FA-SL12-G14,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=17FN12C06XXX
17FU12A06R1X,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,K175KG/CM2-FA20-G25-R1,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=17FU12A06R1X
17FU12A06XXX,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,K175KG/CM2-FA20-SL12-G25,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=17FU12A06XXX
17FU12C06R1X,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,K175KG/CM2-FA20-G14-R1,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=17FU12C06R1X
17FU12C06XXX,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,K175KG/CM2-FA20-SL12-G14,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=17FU12C06XXX
17FV12A06R1X,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,K175KG/CM2-FA-G25-R1,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=17FV12A06R1X
17FV12A06XXX,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,K175KG/CM2-FA-SL12-G25,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=17FV12A06XXX
17PX12A06R1X,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,K175KG/CM2-NORM-G25-R1,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=17PX12A06R1X
17PX12A06TMI,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,K175KG/CM2-NORM-SL12-G25,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=17PX12A06TMI
17PX12A06XXX,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,K175KG/CM2-NORM-SL12-G25,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=17PX12A06XXX
17PX12C06R1X,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,K175KG/CM2-NORM-G14-R1,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=17PX12C06R1X
17PX12C06XXX,,,,,,,,,,R01JAT-801,,,,,,,,12+/-2,,,,,,,,,,,,,,,,K175KG/CM2-NORM-SL12-G14,0,start firefox http://103.167.107.33:8001/mis/deletemixdesign.php?id=17PX12C06XXX
